JobId;Nodes;NodeList;SubmitTime;StartTime;EndTime;WaitTime;RunTime;ResponseTime;Slowdown;Backfilled
2;8;n[1-8];19310350;19310350;19310853;0;503;503;1.000000;no
3;8;n[9-16];19310363;19310363;19310843;0;480;480;1.000000;no
4;8;n[17-24];19310373;19310373;19310842;0;469;469;1.000000;no
5;8;n[25-32];19310385;19310385;19310843;0;458;458;1.000000;no
6;8;n[33-40];19310394;19310394;19310852;0;458;458;1.000000;no
7;8;n[41-48];19310425;19310425;19310853;0;428;428;1.000000;no
8;12;n[49-60];19310657;19310657;19317740;0;7083;7083;1.000000;no
9;6;n[61-66];19310746;19310746;19310997;0;251;251;1.000000;no
10;8;n[1-8];19311088;19311088;19312778;0;1690;1690;1.000000;no
11;8;n[9-16];19311094;19311094;19312773;0;1679;1679;1.000000;no
12;8;n[17-24];19311098;19311098;19312777;0;1679;1679;1.000000;no
13;8;n[25-32];19311102;19311102;19312781;0;1679;1679;1.000000;no
14;8;n[33-40];19311115;19311115;19312772;0;1657;1657;1.000000;no
15;8;n[41-48];19311118;19311118;19312775;0;1657;1657;1.000000;no
16;6;n[61-66];19311237;19311237;19312390;0;1153;1153;1.000000;no
17;512;n[67-578];19311576;19311576;19312776;0;1200;1200;1.000000;no
18;8;n[579-586];19312347;19312347;19312420;0;73;73;1.000000;no
19;12;n[579-590];19312437;19312437;19314885;0;2448;2448;1.000000;no
20;15;n[591-605];19312584;19312584;19312668;0;84;84;1.000000;no
21;2;n[1-2];19313015;19313015;19313119;0;104;104;1.000000;no
22;2;n[1-2];19313125;19313125;19313238;0;113;113;1.000000;no
23;15;n[3-17];19313137;19313137;19313239;0;102;102;1.000000;no
24;12;n[18-29];19313198;19313198;19319105;0;5907;5907;1.000000;no
25;2;n[1-2];19313290;19313290;19313363;0;73;73;1.000000;no
26;12;n[1-12];19313450;19313450;19319116;0;5666;5666;1.000000;no
27;15;n[30-44];19313579;19313579;19313661;0;82;82;1.000000;no
28;1;n45;19313645;19313645;19313712;0;67;67;1.000000;no
29;2;n[46-47];19313651;19313651;19313732;0;81;81;1.000000;no
