JobId;Nodes;NodeList;SubmitTime;StartTime;EndTime;WaitTime;RunTime;ResponseTime;Slowdown;Backfilled
2;5;n[1-5];100;100;14500;0;14400;14400;1.000000;no
3;5;n[6-10];137;137;14537;0;14400;14400;1.000000;no
4;50;n[1-50];113236;113236;290013;0;176777;176777;1.000000;no
5;128;n[51-178];125487;125487;125532;0;45;45;1.000000;no
6;500;n[51-550];125637;125637;125990;0;353;353;1.000000;no
7;128;n[51-178];126151;126151;126193;0;42;42;1.000000;no
8;50;n[51-100];126731;126731;128845;0;2114;2114;1.000000;no
9;128;n[101-228];127133;127133;299933;0;172800;172800;1.000000;no
10;50;n[51-100];128880;128880;129060;0;180;180;1.000000;no
11;50;n[51-100];129090;129090;129455;0;365;365;1.000000;no
12;50;n[51-100];129633;129633;129987;0;354;354;1.000000;no
13;50;n[51-100];130080;130080;130111;0;31;31;1.000000;no
14;50;n[51-100];130235;130235;130562;0;327;327;1.000000;no
15;5;n[229-233];130519;130519;155729;0;25210;25210;1.000000;no
16;5;n[234-238];130519;130519;172365;0;41846;41846;1.000000;no
17;5;n[239-243];130519;130519;172630;0;42111;42111;1.000000;no
18;5;n[244-248];130519;130519;172759;0;42240;42240;1.000000;no
19;5;n[249-253];130519;130519;173007;0;42488;42488;1.000000;no
20;5;n[254-258];130519;130519;172860;0;42341;42341;1.000000;no
21;5;n[259-263];130520;130520;172634;0;42114;42114;1.000000;no
22;5;n[264-268];130520;130520;173411;0;42891;42891;1.000000;no
23;5;n[269-273];130521;130521;130630;0;109;109;1.000000;no
24;5;n[274-278];130521;130521;172055;0;41534;41534;1.000000;no
25;5;n[279-283];130521;130521;172387;0;41866;41866;1.000000;no
26;5;n[284-288];130521;130521;172515;0;41994;41994;1.000000;no
27;5;n[289-293];130522;130522;170242;0;39720;39720;1.000000;no
28;5;n[294-298];130522;130522;172473;0;41951;41951;1.000000;no
29;5;n[299-303];130522;130522;174248;0;43726;43726;1.000000;no
30;5;n[304-308];130522;130522;174310;0;43788;43788;1.000000;no
31;5;n[309-313];130523;130523;169997;0;39474;39474;1.000000;no
32;5;n[314-318];130523;130523;170274;0;39751;39751;1.000000;no
33;5;n[319-323];130523;130523;170660;0;40137;40137;1.000000;no
34;5;n[324-328];130523;130523;173726;0;43203;43203;1.000000;no
35;5;n[329-333];130524;130524;169901;0;39377;39377;1.000000;no
36;5;n[334-338];130524;130524;170040;0;39516;39516;1.000000;no
37;5;n[339-343];130524;130524;170557;0;40033;40033;1.000000;no
38;25;n[51-75];130565;130565;130912;0;347;347;1.000000;no
39;25;n[76-100];130572;130572;130919;0;347;347;1.000000;no
40;25;n[344-368];130593;130593;130918;0;325;325;1.000000;no
41;25;n[369-393];130606;130606;130919;0;313;313;1.000000;no
42;25;n[394-418];130617;130617;130963;0;346;346;1.000000;no
43;25;n[419-443];130641;130641;130954;0;313;313;1.000000;no
44;25;n[444-468];130653;130653;130999;0;346;346;1.000000;no
45;25;n[469-493];130665;130665;131000;0;335;335;1.000000;no
46;25;n[494-518];130676;130676;130989;0;313;313;1.000000;no
47;25;n[519-543];130689;130689;131002;0;313;313;1.000000;no
48;25;n[544-568];130700;130700;131042;0;342;342;1.000000;no
49;25;n[569-593];130710;130710;225762;0;95052;95052;1.000000;no
50;25;n[594-618];130721;130721;131063;0;342;342;1.000000;no
51;25;n[619-643];130734;130734;130765;0;31;31;1.000000;no
52;50;n[51-100];131881;131881;132177;0;296;296;1.000000;no
