JobId;Nodes;NodeList;SubmitTime;StartTime;EndTime;WaitTime;RunTime;ResponseTime;Slowdown;Backfilled
199;1;n66;232387;232387;252513;0;20126;20126;1;no
312;1;n263;464478;464478;637278;0;172800;172800;1;no
313;1;n262;464505;464505;637305;0;172800;172800;1;no
314;1;n236;464527;464527;637327;0;172800;172800;1;no
315;1;n237;464548;464548;578832;0;114284;114284;1;no
359;1;n227;546212;546212;550850;0;4638;4638;1;no
750;3;n[96-98];726894;726894;730235;0;3341;3341;1;no
760;3;n[96-98];733249;733249;740538;0;7289;7289;1;no
775;1;n18;742726;742726;746554;0;3828;3828;1;no
789;1;n27;803773;803773;809714;0;5941;5941;1;no
790;1;n28;803799;803799;809694;0;5895;5895;1;no
837;1;n1106;1076632;1076632;1083832;0;7200;7200;1;no
1806;1;n1140;2884906;2884906;2890906;0;6000;6000;1;no
1813;1;n1140;2890971;2890971;2896971;0;6000;6000;1;no
1819;1;n26;2900776;2900776;2906776;0;6000;6000;1;no
1856;2;n[26-27];2982533;2982533;3019133;0;36600;36600;1;no
1924;1;n489;3191741;3191741;3205154;0;13413;13413;1;no
1925;1;n490;3191947;3191947;3207810;0;15863;15863;1;no
1926;1;n491;3192152;3192152;3209490;0;17338;17338;1;no
1927;1;n489;3216916;3216916;3233791;0;16875;16875;1;no
1928;1;n490;3217018;3217018;3234505;0;17487;17487;1;no
1929;1;n491;3217171;3217171;3233218;0;16047;16047;1;no
1930;1;n492;3217279;3217279;3221977;0;4698;4698;1;no
1931;1;n493;3217774;3217774;3236711;0;18937;18937;1;no
1933;1;n494;3218319;3218319;3236688;0;18369;18369;1;no
1934;1;n495;3218431;3218431;3236953;0;18522;18522;1;no
1935;1;n496;3220454;3220454;3234548;0;14094;14094;1;no
1936;1;n497;3220507;3220507;3234402;0;13895;13895;1;no
1937;1;n498;3220586;3220586;3234509;0;13923;13923;1;no
1939;1;n1013;3220757;3220757;3234407;0;13650;13650;1;no
1940;1;n1014;3221282;3221282;3234387;0;13105;13105;1;no
1941;1;n1015;3221339;3221339;3234472;0;13133;13133;1;no
1942;1;n1016;3221425;3221425;3234427;0;13002;13002;1;no
1943;1;n1017;3221497;3221497;3234398;0;12901;12901;1;no
1944;1;n1018;3221587;3221587;3234410;0;12823;12823;1;no
1945;1;n1019;3221629;3221629;3234382;0;12753;12753;1;no
1946;1;n1020;3221697;3221697;3234399;0;12702;12702;1;no
1947;1;n1021;3221741;3221741;3234417;0;12676;12676;1;no
1948;1;n1022;3221827;3221827;3236736;0;14909;14909;1;no
1949;1;n1107;3221874;3221874;3236692;0;14818;14818;1;no
1950;1;n492;3222124;3222124;3236756;0;14632;14632;1;no
1951;1;n1108;3222171;3222171;3236698;0;14527;14527;1;no
1952;1;n1109;3222665;3222665;3236863;0;14198;14198;1;no
1953;1;n1110;3222721;3222721;3236708;0;13987;13987;1;no
1954;1;n1111;3222763;3222763;3236699;0;13936;13936;1;no
1955;1;n1112;3222797;3222797;3236873;0;14076;14076;1;no
1956;1;n1113;3222824;3222824;3236676;0;13852;13852;1;no
1957;1;n1114;3222884;3222884;3236995;0;14111;14111;1;no
1958;1;n1115;3222927;3222927;3236957;0;14030;14030;1;no
1959;1;n1116;3222956;3222956;3236959;0;14003;14003;1;no
1960;1;n1117;3222982;3222982;3236958;0;13976;13976;1;no
1961;1;n1118;3223033;3223033;3236962;0;13929;13929;1;no
1962;1;n1119;3223123;3223123;3237150;0;14027;14027;1;no
1963;1;n1120;3223150;3223150;3236983;0;13833;13833;1;no
1964;1;n1121;3223190;3223190;3236731;0;13541;13541;1;no
1966;1;n60;3226216;3226216;3241039;0;14823;14823;1;no
1967;1;n61;3226256;3226256;3241178;0;14922;14922;1;no
1971;1;n474;3227821;3227821;3241079;0;13258;13258;1;no
1972;1;n475;3227872;3227872;3241097;0;13225;13225;1;no
1974;1;n1152;3229543;3229543;3243255;0;13712;13712;1;no
1977;1;n459;3232288;3232288;3246186;0;13898;13898;1;no
1978;1;n460;3232335;3232335;3245379;0;13044;13044;1;no
1979;1;n1113;3236812;3236812;3248933;0;12121;12121;1;no
1980;1;n1121;3236846;3236846;3248784;0;11938;11938;1;no
1981;1;n461;3236879;3236879;3248834;0;11955;11955;1;no
1982;1;n462;3236911;3236911;3248901;0;11990;11990;1;no
1983;1;n463;3236945;3236945;3248200;0;11255;11255;1;no
1984;1;n1107;3237584;3237584;3248067;0;10483;10483;1;no
1985;1;n1108;3237661;3237661;3248793;0;11132;11132;1;no
1986;1;n1109;3237728;3237728;3248851;0;11123;11123;1;no
1987;1;n1110;3237796;3237796;3248887;0;11091;11091;1;no
1988;1;n1111;3237849;3237849;3248865;0;11016;11016;1;no
1989;1;n1112;3238002;3238002;3249846;0;11844;11844;1;no
1990;1;n1114;3238163;3238163;3250750;0;12587;12587;1;no
1991;1;n1115;3238252;3238252;3249900;0;11648;11648;1;no
1993;1;n1013;3241272;3241272;3254546;0;13274;13274;1;no
