JobId;Nodes;NodeList;SubmitTime;StartTime;EndTime;WaitTime;RunTime;ResponseTime;Slowdown;Backfilled
2;4;n[1-4];43805007;43805007;43818199;0;13192;13192;1.000000;no
3;4;n[5-8];43805654;43805654;43818526;0;12872;12872;1.000000;no
4;4;n[9-12];43805939;43805939;43818824;0;12885;12885;1.000000;no
5;4;n[13-16];43812184;43812184;43831296;0;19112;19112;1.000000;no
6;4;n[17-20];43812917;43812917;43831931;0;19014;19014;1.000000;no
7;5;n[21-25];43813400;43813400;43814752;0;1352;1352;1.000000;no
8;5;n[26-30];43813405;43813405;44072605;0;259200;259200;1.000000;no
9;5;n[31-35];43813410;43813410;43814688;0;1278;1278;1.000000;no
10;250;n[36-285];43813425;43813425;44072625;0;259200;259200;1.000000;no
11;4;n[21-24];43818156;43818156;43831010;0;12854;12854;1.000000;no
12;4;n[1-4];43818495;43818495;43831640;0;13145;13145;1.000000;no
13;4;n[5-8];43818787;43818787;43832057;0;13270;13270;1.000000;no
14;4;n[9-12];43822176;43822176;43841151;0;18975;18975;1.000000;no
15;5;n[31-35];43826941;43826941;43828415;0;1474;1474;1.000000;no
16;1;n25;43827681;43827681;43827890;0;209;209;1.000000;no
17;1;n25;43829124;43829124;43833705;0;4581;4581;1.000000;no
18;4;n[31-34];43830972;43830972;43844069;0;13097;13097;1.000000;no
19;4;n[21-24];43831260;43831260;43850281;0;19021;19021;1.000000;no
20;4;n[13-16];43831605;43831605;43843925;0;12320;12320;1.000000;no
21;4;n[1-4];43831889;43831889;43850808;0;18919;18919;1.000000;no
22;4;n[17-20];43832016;43832016;43844592;0;12576;12576;1.000000;no
23;1;n35;43833684;43833684;43839614;0;5930;5930;1.000000;no
24;1;n25;43836010;43836010;43852263;0;16253;16253;1.000000;no
25;10;n[286-295];43837115;43837115;43979884;0;142769;142769;1.000000;no
26;4;n[5-8];43837376;43837376;43838500;0;1124;1124;1.000000;no
27;1;n296;43838436;43838436;44023931;0;185495;185495;1.000000;no
28;1;n5;43838562;43838562;43864578;0;26016;26016;1.000000;no
29;1;n6;43838709;43838709;43838738;0;29;29;1.000000;no
30;1;n6;43838835;43838835;43864561;0;25726;25726;1.000000;no
31;10;n[297-306];43839105;43839105;43926250;0;87145;87145;1.000000;no
32;10;n[307-316];43839155;43839155;43898573;0;59418;59418;1.000000;no
33;1;n7;43839566;43839566;43883665;0;44099;44099;1.000000;no
34;5;n[317-321];43839648;43839648;43843290;0;3642;3642;1.000000;no
35;2;n[322-323];43839799;43839799;43881080;0;41281;41281;1.000000;no
36;2;n[324-325];43839801;43839801;43875332;0;35531;35531;1.000000;no
37;2;n[326-327];43839801;43839801;43879655;0;39854;39854;1.000000;no
38;2;n[328-329];43839802;43839802;43874524;0;34722;34722;1.000000;no
39;2;n[330-331];43839802;43839802;43878007;0;38205;38205;1.000000;no
40;2;n[332-333];43839802;43839802;43878770;0;38968;38968;1.000000;no
41;2;n[334-335];43839802;43839802;43885102;0;45300;45300;1.000000;no
42;2;n[336-337];43839829;43839829;43876776;0;36947;36947;1.000000;no
43;2;n[338-339];43839830;43839830;43877899;0;38069;38069;1.000000;no
44;2;n[340-341];43839830;43839830;43882842;0;43012;43012;1.000000;no
45;2;n[342-343];43839830;43839830;43885130;0;45300;45300;1.000000;no
46;2;n[344-345];43839831;43839831;43876955;0;37124;37124;1.000000;no
47;2;n[346-347];43839831;43839831;43877579;0;37748;37748;1.000000;no
48;2;n[348-349];43839831;43839831;43881762;0;41931;41931;1.000000;no
49;10;n[350-359];43840177;43840177;43842115;0;1938;1938;1.000000;no
50;4;n[360-363];43841109;43841109;43860074;0;18965;18965;1.000000;no
51;4;n[8-11];43843889;43843889;43855392;0;11503;11503;1.000000;no
52;4;n[12-15];43844031;43844031;43856526;0;12495;12495;1.000000;no
53;4;n[31-34];43844565;43844565;43856160;0;11595;11595;1.000000;no
54;5;n[16-20];43844793;43844793;43846519;0;1726;1726;1.000000;no
55;5;n[317-321];43844810;43844810;43846571;0;1761;1761;1.000000;no
56;5;n[350-354];43844828;43844828;43846614;0;1786;1786;1.000000;no
57;5;n[355-359];43844845;43844845;43846858;0;2013;2013;1.000000;no
58;5;n[364-368];43844863;43844863;43846885;0;2022;2022;1.000000;no
59;5;n[369-373];43844881;43844881;43846875;0;1994;1994;1.000000;no
60;5;n[374-378];43844899;43844899;43880899;0;36000;36000;1.000000;no
61;5;n[379-383];43844917;43844917;43845459;0;542;542;1.000000;no
62;5;n[384-388];43844935;43844935;43845411;0;476;476;1.000000;no
63;5;n[389-393];43844953;43844953;43846983;0;2030;2030;1.000000;no
64;5;n[394-398];43844970;43844970;43846978;0;2008;2008;1.000000;no
65;5;n[399-403];43844988;43844988;43847032;0;2044;2044;1.000000;no
66;5;n[404-408];43845006;43845006;43846853;0;1847;1847;1.000000;no
67;5;n[409-413];43845024;43845024;43846832;0;1808;1808;1.000000;no
68;5;n[414-418];43845042;43845042;43846857;0;1815;1815;1.000000;no
69;5;n[419-423];43845060;43845060;43847138;0;2078;2078;1.000000;no
70;5;n[424-428];43845077;43845077;43847144;0;2067;2067;1.000000;no
71;5;n[429-433];43845095;43845095;43847166;0;2071;2071;1.000000;no
72;5;n[434-438];43845113;43845113;43846946;0;1833;1833;1.000000;no
73;5;n[439-443];43845131;43845131;43847001;0;1870;1870;1.000000;no
74;5;n[444-448];43845149;43845149;43846997;0;1848;1848;1.000000;no
75;30;n[449-478];43845346;43845346;43853033;0;7687;7687;1.000000;no
76;30;n[479-508];43845364;43845364;43853114;0;7750;7750;1.000000;no
77;30;n[509-538];43845381;43845381;43853020;0;7639;7639;1.000000;no
78;30;n[539-568];43845399;43845399;43853713;0;8314;8314;1.000000;no
79;30;n[569-598];43845417;43845417;43853731;0;8314;8314;1.000000;no
80;30;n[599-628];43845435;43845435;43853663;0;8228;8228;1.000000;no
81;30;n[629-658];43845452;43845452;43881452;0;36000;36000;1.000000;no
82;30;n[659-688];43845470;43845470;43881470;0;36000;36000;1.000000;no
83;30;n[689-718];43845488;43845488;43881488;0;36000;36000;1.000000;no
84;30;n[719-748];43845505;43845505;43845910;0;405;405;1.000000;no
85;30;n[749-778];43845523;43845523;43881523;0;36000;36000;1.000000;no
86;30;n[779-808];43845541;43845541;43850461;0;4920;4920;1.000000;no
87;30;n[809-838];43845559;43845559;43853812;0;8253;8253;1.000000;no
88;30;n[839-868];43845577;43845577;43853903;0;8326;8326;1.000000;no
89;30;n[869-898];43845594;43845594;43853904;0;8310;8310;1.000000;no
90;30;n[379-385,899-921];43845612;43845612;43881612;0;36000;36000;1.000000;no
91;30;n[719-748];43845630;43845910;43881910;280;36000;36280;1.007778;no
92;30;n[16-20,317-321,350-354,404-418];43845648;43846857;43882857;1209;36000;37209;1.033583;no
93;30;n[355-359,364-373,386-398,434-435];43845665;43846983;43854789;1318;7806;9124;1.168844;no
94;30;n[35,403,419-433,436-448];43845683;43847166;43855019;1483;7853;9336;1.188845;no
95;30;n[779-808];43845701;43850461;43858308;4760;7847;12607;1.606601;no
96;30;n[509-538];43845718;43853020;43861438;7302;8418;15720;1.867427;no
97;30;n[449-478];43845736;43853033;43861431;7297;8398;15695;1.868897;no
98;30;n[479-508];43845754;43853114;43861472;7360;8358;15718;1.880593;no
99;30;n[599-628];43845772;43853663;43861655;7891;7992;15883;1.987362;no
100;30;n[539-568];43845790;43853713;43861693;7923;7980;15903;1.992857;no
101;30;n[569-598];43845807;43853731;43861688;7924;7957;15881;1.995853;no
102;4;n[35,386-388];43845810;43845810;43846931;0;1121;1121;1.000000;no
103;4;n[399-402];43847144;43847144;43848267;0;1123;1123;1.000000;no
104;1;n399;43848743;43848743;43893101;0;44358;44358;1.000000;no
105;4;n[21-24];43850242;43850281;43869221;39;18940;18979;1.002059;no
106;1;n400;43850578;43850578;43906952;0;56374;56374;1.000000;no
107;4;n[1-4];43850765;43850808;43869947;43;19139;19182;1.002247;no
108;4;n[809-812];43854475;43854475;43855588;0;1113;1113;1.000000;no
109;4;n[355-358];43855355;43855355;43867285;0;11930;11930;1.000000;no
110;4;n[8-11];43856123;43856123;43868413;0;12290;12290;1.000000;no
111;1;n25;43856399;43856399;43857299;0;900;900;1.000000;no
112;4;n[31-34];43856483;43856483;43868070;0;11587;11587;1.000000;no
113;20;n[419-438];43856743;43856743;43890655;0;33912;33912;1.000000;no
114;20;n[809-828];43856767;43856767;43893083;0;36316;36316;1.000000;no
115;5;n[364-368];43858086;43858086;43861761;0;3675;3675;1.000000;no
116;8;n[439-446];43860460;43860460;43908623;0;48163;48163;1.000000;no
117;4;n[12-15];43860465;43860465;43879688;0;19223;19223;1.000000;no
118;8;n[386-393];43860475;43860475;43912441;0;51966;51966;1.000000;no
119;2;n[401-402];43862348;43862348;43862492;0;144;144;1.000000;no
120;1;n25;43862748;43862748;43862819;0;71;71;1.000000;no
121;1;n25;43862834;43862834;43862887;0;53;53;1.000000;no
122;1;n25;43863063;43863063;43863218;0;155;155;1.000000;no
123;1;n25;43863432;43863432;43863490;0;58;58;1.000000;no
124;5;n[394-398];43865297;43865297;43868937;0;3640;3640;1.000000;no
125;20;n[779-798];43866371;43866371;43866673;0;302;302;1.000000;no
126;4;n[359-362];43867281;43867281;43878528;0;11247;11247;1.000000;no
127;4;n[355-358];43868027;43868027;43879905;0;11878;11878;1.000000;no
128;4;n[31-34];43868369;43868369;43879564;0;11195;11195;1.000000;no
129;4;n[8-11];43869189;43869189;43888110;0;18921;18921;1.000000;no
130;4;n[21-24];43869904;43869904;43889064;0;19160;19160;1.000000;no
131;2;n[401-402];43871592;43871592;43871665;0;73;73;1.000000;no
132;20;n[779-798];43873404;43873404;43873695;0;291;291;1.000000;no
133;20;n[829-848];43873672;43873672;43873745;0;73;73;1.000000;no
134;1;n25;43873863;43873863;43904395;0;30532;30532;1.000000;no
135;20;n[779-798];43873874;43873874;43874096;0;222;222;1.000000;no
136;20;n[829-848];43874071;43874071;44013308;0;139237;139237;1.000000;no
137;1;n35;43874240;43874240;43901847;0;27607;27607;1.000000;no
138;2;n[324-325];43878237;43878237;43878303;0;66;66;1.000000;no
139;1;n324;43878310;43878310;43878382;0;72;72;1.000000;no
140;4;n[328-331];43878528;43878528;43889767;0;11239;11239;1.000000;no
141;4;n[31-34];43879564;43879564;43890872;0;11308;11308;1.000000;no
142;4;n[324-327];43879684;43879684;43898908;0;19224;19224;1.000000;no
143;4;n[12-15];43879910;43879910;43891121;0;11211;11211;1.000000;no
144;10;n[401-410];43884433;43884433;43917486;0;33053;33053;1.000000;no
145;10;n[344-353];43884562;43884562;43943730;0;59168;59168;1.000000;no
146;1;n16;43885236;43885236;43936540;0;51304;51304;1.000000;no
147;3;n[17-19];43886395;43886395;43909508;0;23113;23113;1.000000;no
148;1;n20;43887312;43887312;43935998;0;48686;48686;1.000000;no
149;4;n[394-397];43888112;43888112;43907015;0;18903;18903;1.000000;no
150;1;n398;43888154;43888154;43888227;0;73;73;1.000000;no
151;1;n398;43888240;43888240;43888314;0;74;74;1.000000;no
152;4;n[21-24];43889068;43889068;43908294;0;19226;19226;1.000000;no
153;2;n[317-318];43889284;43889284;43889347;0;63;63;1.000000;no
154;4;n[317-320];43889723;43889723;43901258;0;11535;11535;1.000000;no
155;4;n[1-4];43890835;43890835;43902326;0;11491;11491;1.000000;no
156;4;n[31-34];43891082;43891082;43902363;0;11281;11281;1.000000;no
157;1;n398;43891572;43891572;43891605;0;33;33;1.000000;no
