JobId;Nodes;NodeList;SubmitTime;StartTime;EndTime;WaitTime;RunTime;ResponseTime;Slowdown;Backfilled
2;8;n[1-8];19310250;19310250;19310753;0;503;503;1.000000;no
3;8;n[9-16];19310263;19310263;19310743;0;480;480;1.000000;no
4;8;n[17-24];19310273;19310273;19310742;0;469;469;1.000000;no
5;8;n[25-32];19310285;19310285;19310743;0;458;458;1.000000;no
6;8;n[33-40];19310294;19310294;19310752;0;458;458;1.000000;no
7;8;n[41-48];19310325;19310325;19310753;0;428;428;1.000000;no
8;12;n[49-60];19310557;19310557;19317640;0;7083;7083;1.000000;no
9;6;n[61-66];19310646;19310646;19310897;0;251;251;1.000000;no
10;8;n[1-8];19310988;19310988;19312678;0;1690;1690;1.000000;no
11;8;n[9-16];19310994;19310994;19312673;0;1679;1679;1.000000;no
12;8;n[17-24];19310998;19310998;19312677;0;1679;1679;1.000000;no
13;8;n[25-32];19311002;19311002;19312681;0;1679;1679;1.000000;no
14;8;n[33-40];19311015;19311015;19312672;0;1657;1657;1.000000;no
15;8;n[41-48];19311018;19311018;19312675;0;1657;1657;1.000000;no
16;6;n[61-66];19311137;19311137;19312290;0;1153;1153;1.000000;no
17;512;n[67-578];19311476;19311476;19312676;0;1200;1200;1.000000;no
18;8;n[579-586];19312247;19312247;19312320;0;73;73;1.000000;no
19;12;n[579-590];19312337;19312337;19314785;0;2448;2448;1.000000;no
20;15;n[591-605];19312484;19312484;19312568;0;84;84;1.000000;no
21;2;n[1-2];19312915;19312915;19313019;0;104;104;1.000000;no
22;2;n[1-2];19313025;19313025;19313138;0;113;113;1.000000;no
23;15;n[3-17];19313037;19313037;19313139;0;102;102;1.000000;no
24;12;n[18-29];19313098;19313098;19319005;0;5907;5907;1.000000;no
25;2;n[1-2];19313190;19313190;19313263;0;73;73;1.000000;no
26;12;n[1-12];19313350;19313350;19319016;0;5666;5666;1.000000;no
27;15;n[30-44];19313479;19313479;19313561;0;82;82;1.000000;no
28;1;n45;19313545;19313545;19313612;0;67;67;1.000000;no
29;2;n[46-47];19313551;19313551;19313632;0;81;81;1.000000;no
30;16;n[69-84];19313551;19313551;19313632;0;81;81;1.000000;no
31;4;n[13-16];19313551;19313551;19313654;0;103;103;1.000000;no
32;8;n[61-68];19313551;19313551;19313654;0;103;103;1.000000;no
33;32;n[85-116];19313552;19313552;19313655;0;103;103;1.000000;no
34;64;n[117-180];19313552;19313552;19313655;0;103;103;1.000000;no
35;128;n[181-308];19313552;19313552;19313655;0;103;103;1.000000;no
36;256;n[309-564];19313552;19313552;19313665;0;113;113;1.000000;no
37;1;n17;19313559;19313559;19313628;0;69;69;1.000000;no
38;2;n[565-566];19313559;19313559;19313662;0;103;103;1.000000;no
39;4;n[567-570];19313559;19313559;19313662;0;103;103;1.000000;no
40;8;n[571-578];19313560;19313560;19313663;0;103;103;1.000000;no
41;16;n[591-606];19313560;19313560;19313663;0;103;103;1.000000;no
42;32;n[607-638];19313560;19313560;19313663;0;103;103;1.000000;no
43;64;n[639-702];19313560;19313560;19313680;0;120;120;1.000000;no
44;128;n[703-830];19313560;19313560;19313680;0;120;120;1.000000;no
45;256;n[831-1086];19313560;19313560;19313645;0;85;85;1.000000;no
46;15;n[30-44];19313590;19313590;19313641;0;51;51;1.000000;no
47;3;n[13-15];19313662;19313662;19313775;0;113;113;1.000000;no
48;3;n[30-32];19313720;19313720;19313829;0;109;109;1.000000;no
49;3;n[13-15];19313837;19313837;19313944;0;107;107;1.000000;no
50;3;n[13-15];19313984;19313984;19314091;0;107;107;1.000000;no
51;256;n[61-316];19314412;19314412;19314520;0;108;108;1.000000;no
52;3;n[13-15];19314559;19314559;19314758;0;199;199;1.000000;no
53;15;n[30-44];19314732;19314732;19315055;0;323;323;1.000000;no
54;15;n[30-44];19315152;19315152;19315588;0;436;436;1.000000;no
55;1;n13;19315706;19315706;19315779;0;73;73;1.000000;no
56;2;n[14-15];19315712;19315712;19315832;0;120;120;1.000000;no
57;4;n[30-33];19315712;19315712;19315832;0;120;120;1.000000;no
58;8;n[34-41];19315712;19315712;19315832;0;120;120;1.000000;no
59;32;n[77-108];19315713;19315713;19315802;0;89;89;1.000000;no
60;16;n[61-76];19315713;19315713;19315833;0;120;120;1.000000;no
61;128;n[109-236];19315713;19315713;19315833;0;120;120;1.000000;no
62;256;n[237-492];19315714;19315714;19315823;0;109;109;1.000000;no
63;512;n[493-1004];19315714;19315714;19316137;0;423;423;1.000000;no
64;64;n[1005-1068];19316086;19316086;19316159;0;73;73;1.000000;no
65;15;n[30-44];19316222;19316222;19527210;0;210988;210988;1.000000;no
66;1;n45;19316891;19316891;19316964;0;73;73;1.000000;no
67;2;n[46-47];19316897;19316897;19316986;0;89;89;1.000000;no
68;4;n[13-16];19316897;19316897;19316986;0;89;89;1.000000;no
69;64;n[117-180];19316898;19316898;19316987;0;89;89;1.000000;no
70;8;n[61-68];19316898;19316898;19317018;0;120;120;1.000000;no
71;16;n[69-84];19316898;19316898;19317018;0;120;120;1.000000;no
72;32;n[85-116];19316898;19316898;19317018;0;120;120;1.000000;no
73;128;n[181-308];19316898;19316898;19317018;0;120;120;1.000000;no
74;256;n[309-564];19316899;19316899;19317007;0;108;108;1.000000;no
75;1;n45;19317051;19317051;19317103;0;52;52;1.000000;no
76;2;n[46-47];19317057;19317057;19317170;0;113;113;1.000000;no
77;8;n[61-68];19317058;19317058;19317126;0;68;68;1.000000;no
78;4;n[13-16];19317058;19317058;19317171;0;113;113;1.000000;no
79;16;n[69-84];19317058;19317058;19317171;0;113;113;1.000000;no
80;32;n[85-116];19317058;19317058;19317171;0;113;113;1.000000;no
81;64;n[117-180];19317059;19317059;19317180;0;121;121;1.000000;no
82;128;n[181-308];19317059;19317059;19317180;0;121;121;1.000000;no
83;6;n[61-66];19317181;19317181;19317299;0;118;118;1.000000;no
84;6;n[67-72];19317187;19317187;19317293;0;106;106;1.000000;no
85;6;n[73-78];19317192;19317192;19317298;0;106;106;1.000000;no
86;1;n45;19317298;19317298;19317371;0;73;73;1.000000;no
87;2;n[46-47];19317304;19317304;19317428;0;124;124;1.000000;no
88;4;n[13-16];19317304;19317304;19317428;0;124;124;1.000000;no
89;8;n[61-68];19317305;19317305;19317398;0;93;93;1.000000;no
90;16;n[69-84];19317305;19317305;19317429;0;124;124;1.000000;no
91;32;n[85-116];19317305;19317305;19317429;0;124;124;1.000000;no
92;64;n[117-180];19317305;19317305;19317429;0;124;124;1.000000;no
93;128;n[181-308];19317305;19317305;19317429;0;124;124;1.000000;no
94;256;n[309-564];19317306;19317306;19317400;0;94;94;1.000000;no
95;6;n[45-50];19318164;19318164;19329728;0;11564;11564;1.000000;no
96;6;n[51-56];19318189;19318189;19329775;0;11586;11586;1.000000;no
97;6;n[57-62];19318216;19318216;19329886;0;11670;11670;1.000000;no
98;12;n[63-74];19318982;19318982;19319073;0;91;91;1.000000;no
99;128;n[75-202];19318984;19318984;19319086;0;102;102;1.000000;no
100;64;n[203-266];19318994;19318994;19319116;0;122;122;1.000000;no
101;32;n[267-298];19318999;19318999;19319121;0;122;122;1.000000;no
102;2;n[13-14];19319003;19319003;19319125;0;122;122;1.000000;no
