JobId;Nodes;NodeList;SubmitTime;StartTime;EndTime;WaitTime;RunTime;ResponseTime;Slowdown;Backfilled
2;54;n[1-54];200;200;8023;0;7823;7823;1.000000;no
3;64;n[55-118];662;662;73730;0;73068;73068;1.000000;no
4;32;n[119-150];940;940;15602;0;14662;14662;1.000000;no
5;32;n[151-182];1032;1032;1061;0;29;29;1.000000;no
6;53;n[151-203];1497;1497;7815;0;6318;6318;1.000000;no
7;128;n[204-331];1962;1962;2155;0;193;193;1.000000;no
8;32;n[204-235];2609;2609;2638;0;29;29;1.000000;no
9;32;n[204-235];2976;2976;8690;0;5714;5714;1.000000;no
10;36;n[236-271];3067;3067;20592;0;17525;17525;1.000000;no
11;128;n[272-399];3158;3158;15255;0;12097;12097;1.000000;no
12;32;n[400-431];3429;3429;3573;0;144;144;1.000000;no
13;64;n[400-463];3609;3609;3877;0;268;268;1.000000;no
14;64;n[400-463];3877;3877;4060;0;183;183;1.000000;no
15;16;n[464-479];4054;4054;4247;0;193;193;1.000000;no
16;10;n[400-409];4142;4142;38452;0;34310;34310;1.000000;no
17;45;n[410-454];4230;4230;4248;0;18;18;1.000000;no
18;128;n[410-537];4578;4578;37381;0;32803;32803;1.000000;no
19;64;n[538-601];4665;4665;4668;0;3;3;1.000000;no
20;16;n[538-553];4751;4751;4883;0;132;132;1.000000;no
21;32;n[554-585];4836;4836;4842;0;6;6;1.000000;no
22;58;n[538-595];5175;5175;5269;0;94;94;1.000000;no
23;16;n[538-553];5343;5343;5552;0;209;209;1.000000;no
24;14;n[538-551];5591;5591;5601;0;10;10;1.000000;no
25;14;n[538-551];5755;5755;6632;0;877;877;1.000000;no
26;64;n[552-615];5998;5998;9207;0;3209;3209;1.000000;no
27;16;n[616-631];6159;6159;21688;0;15529;15529;1.000000;no
28;32;n[632-663];6397;6397;11236;0;4839;4839;1.000000;no
29;64;n[664-727];6476;6476;6943;0;467;467;1.000000;no
30;64;n[728-791];6554;6554;9037;0;2483;2483;1.000000;no
31;32;n[792-823];6710;6710;6719;0;9;9;1.000000;no
32;32;n[792-823];6787;6787;7726;0;939;939;1.000000;no
33;32;n[664-695];7543;7543;8933;0;1390;1390;1.000000;no
34;11;n[538-548];7764;7764;10172;0;2408;2408;1.000000;no
35;16;n[696-711];7837;7837;27195;0;19358;19358;1.000000;no
36;64;n[792-855];7910;7910;32298;0;24388;24388;1.000000;no
37;32;n[151-182];7982;7982;7986;0;4;4;1.000000;no
38;27;n[151-177];8198;8198;8205;0;7;7;1.000000;no
39;32;n[151-182];8269;8269;8513;0;244;244;1.000000;no
40;64;n[856-919];8340;8340;8636;0;296;296;1.000000;no
41;55;n[920-974];8482;8482;8496;0;14;14;1.000000;no
42;77;n[920-996];8622;8622;9427;0;805;805;1.000000;no
43;32;n[1-32];8761;8761;8830;0;69;69;1.000000;no
44;32;n[664-695];9512;9512;11143;0;1631;1631;1.000000;no
45;9;n[1-9];9645;9645;10257;0;612;612;1.000000;no
46;16;n[10-25];9712;9712;9743;0;31;31;1.000000;no
47;32;n[10-41];9844;9844;11884;0;2040;2040;1.000000;no
48;49;n[538-586];10173;10173;10191;0;18;18;1.000000;no
49;32;n[538-569];10497;10497;10504;0;7;7;1.000000;no
50;16;n[538-553];10689;10689;11498;0;809;809;1.000000;no
51;128;n[856-983];10753;10753;11561;0;808;808;1.000000;no
52;16;n[984-999];10881;10881;16474;0;5593;5593;1.000000;no
53;32;n[554-585];10944;10944;13153;0;2209;2209;1.000000;no
54;52;n[712-763];11008;11008;11176;0;168;168;1.000000;no
55;64;n[151-214];11071;11071;11324;0;253;253;1.000000;no
56;15;n[215-229];11260;11260;11552;0;292;292;1.000000;no
57;32;n[632-663];11323;11323;11688;0;365;365;1.000000;no
58;16;n[538-553];11574;11574;16734;0;5160;5160;1.000000;no
59;16;n[586-601];11636;11636;12332;0;696;696;1.000000;no
60;64;n[632-695];11947;11947;12810;0;863;863;1.000000;no
61;32;n[1-32];12133;12133;32871;0;20738;20738;1.000000;no
62;16;n[33-48];12195;12195;12404;0;209;209;1.000000;no
63;53;n[712-764];12380;12380;12587;0;207;207;1.000000;no
64;30;n[586-615];12441;12441;68467;0;56026;56026;1.000000;no
65;16;n[33-48];12564;12564;13280;0;716;716;1.000000;no
66;16;n[712-727];12626;12626;12784;0;158;158;1.000000;no
67;128;n[856-983];12749;12749;13371;0;622;622;1.000000;no
68;20;n[632-651];12810;12810;13027;0;217;217;1.000000;no
69;16;n[652-667];12871;12871;16065;0;3194;3194;1.000000;no
70;32;n[554-585];13178;13178;13718;0;540;540;1.000000;no
71;84;n[151-234];13423;13423;15207;0;1784;1784;1.000000;no
72;24;n[668-691];13669;13669;13672;0;3;3;1.000000;no
73;16;n[632-647];13731;13731;14954;0;1223;1223;1.000000;no
74;64;n[712-775];13792;13792;14569;0;777;777;1.000000;no
75;64;n[856-919];13915;13915;45217;0;31302;31302;1.000000;no
76;75;n[776-786,920-983];13977;13977;142327;0;128350;128350;1.000000;no
77;64;n[554-585,648-651,668-695];14038;14038;14160;0;122;122;1.000000;no
78;22;n[33-54];14100;14100;162951;0;148851;148851;1.000000;no
79;25;n[668-692];14224;14224;14226;0;2;2;1.000000;no
80;32;n[554-585];14659;14659;16974;0;2315;2315;1.000000;no
81;55;n[712-766];15099;15099;16940;0;1841;1841;1.000000;no
82;36;n[151-186];15225;15225;16129;0;904;904;1.000000;no
83;24;n[668-691];15353;15353;30197;0;14844;14844;1.000000;no
84;13;n[632-644];15417;15417;15752;0;335;335;1.000000;no
85;32;n[187-218];15481;15481;27630;0;12149;12149;1.000000;no
