JobId;Nodes;NodeList;SubmitTime;StartTime;EndTime;WaitTime;RunTime;ResponseTime;Slowdown;Backfilled
2;54;n[1-54];200;200;8023;0;7823;7823;1.000000;no
3;8;n[55-62];292;292;293;0;1;1;1.000000;no
4;8;n[55-62];384;384;425;0;41;41;1.000000;no
5;4;n[55-58];477;477;845;0;368;368;1.000000;no
6;64;n[59-122];662;662;73730;0;73068;73068;1.000000;no
7;4;n[123-126];754;754;3153;0;2399;2399;1.000000;no
8;32;n[127-158];940;940;15602;0;14662;14662;1.000000;no
9;32;n[159-190];1032;1032;1061;0;29;29;1.000000;no
10;1;n55;1125;1125;1461;0;336;336;1.000000;no
11;4;n[159-162];1218;1218;1219;0;1;1;1.000000;no
12;4;n[159-162];1311;1311;1334;0;23;23;1.000000;no
13;1;n56;1404;1404;3203;0;1799;1799;1.000000;no
14;53;n[159-211];1497;1497;7815;0;6318;6318;1.000000;no
15;8;n[212-219];1590;1590;1801;0;211;211;1.000000;no
16;1;n55;1683;1683;5779;0;4096;4096;1.000000;no
17;4;n[212-215];1869;1869;1956;0;87;87;1.000000;no
18;128;n[212-339];1962;1962;2155;0;193;193;1.000000;no
19;8;n[340-347];2055;2055;2573;0;518;518;1.000000;no
20;1;n57;2147;2147;2157;0;10;10;1.000000;no
21;1;n57;2332;2332;2566;0;234;234;1.000000;no
22;8;n[212-219];2425;2425;2433;0;8;8;1.000000;no
23;1;n58;2517;2517;2855;0;338;338;1.000000;no
24;32;n[212-243];2609;2609;2638;0;29;29;1.000000;no
25;8;n[212-219];2884;2884;2921;0;37;37;1.000000;no
26;32;n[212-243];2976;2976;8690;0;5714;5714;1.000000;no
27;36;n[244-279];3067;3067;20592;0;17525;17525;1.000000;no
28;128;n[280-407];3158;3158;15255;0;12097;12097;1.000000;no
29;1;n56;3248;3248;3274;0;26;26;1.000000;no
30;8;n[408-415];3339;3339;3341;0;2;2;1.000000;no
31;32;n[408-439];3429;3429;3573;0;144;144;1.000000;no
32;1;n56;3519;3519;3565;0;46;46;1.000000;no
33;64;n[408-471];3609;3609;3877;0;268;268;1.000000;no
34;8;n[472-479];3699;3699;7910;0;4211;4211;1.000000;no
35;1;n56;3788;3788;3951;0;163;163;1.000000;no
36;64;n[408-471];3877;3877;4060;0;183;183;1.000000;no
37;16;n[480-495];4054;4054;4247;0;193;193;1.000000;no
38;10;n[408-417];4142;4142;38452;0;34310;34310;1.000000;no
39;45;n[418-462];4230;4230;4248;0;18;18;1.000000;no
40;1;n56;4318;4318;7601;0;3283;3283;1.000000;no
41;8;n[418-425];4492;4492;5640;0;1148;1148;1.000000;no
42;128;n[480-607];4578;4578;37381;0;32803;32803;1.000000;no
43;64;n[608-671];4665;4665;4668;0;3;3;1.000000;no
44;16;n[426-441];4751;4751;4883;0;132;132;1.000000;no
45;32;n[608-639];4836;4836;4842;0;6;6;1.000000;no
46;1;n57;5006;5006;5176;0;170;170;1.000000;no
47;2;n[123-124];5091;5091;6110;0;1019;1019;1.000000;no
48;58;n[608-665];5175;5175;5269;0;94;94;1.000000;no
49;2;n[57-58];5259;5259;5853;0;594;594;1.000000;no
50;16;n[426-441];5343;5343;5552;0;209;209;1.000000;no
51;8;n[442-449];5509;5509;6009;0;500;500;1.000000;no
52;14;n[426-439];5591;5591;5601;0;10;10;1.000000;no
53;14;n[450-463];5755;5755;6632;0;877;877;1.000000;no
54;4;n[464-467];5837;5837;5892;0;55;55;1.000000;no
55;64;n[608-671];5998;5998;9207;0;3209;3209;1.000000;no
56;16;n[418-433];6159;6159;21688;0;15529;15529;1.000000;no
57;8;n[464-471];6318;6318;6319;0;1;1;1.000000;no
